cscore,avg(pos),avg(neg)
-90,0.6666666666666666,0.6666666666666666
1508,0.3333333333333333,1.0
2080,0.5,1.0
734,0.25,0.75
1799,1.0,1.0
1415,0.5,1.0
1766,1.0,1.0
1776,0.0,1.0
2308,0.0,1.0
1908,0.0,1.0
4358,0.0,1.0
50,0.34789391575663026,0.9149765990639626
149,0.38857142857142857,0.9257142857142857
94,0.3787465940054496,0.9100817438692098
421,0.4583333333333333,0.8333333333333334
1174,0.0,1.0
-79,0.6153846153846154,0.6153846153846154
2162,1.0,1.0
-107,0.8571428571428571,0.5714285714285714
1038,0.25,1.0
3339,0.0,1.0
2071,0.0,1.0
4608,0.5,0.0
4273,1.0,0.0
1816,0.0,1.0
-13,0.49079089924160346,0.8131094257854822
1064,0.0,1.0
638,0.4444444444444444,0.7777777777777778
876,0.3333333333333333,0.6666666666666666
961,0.3333333333333333,1.0
264,0.49019607843137253,0.9607843137254902
1110,0.0,1.0
4159,0.0,1.0
5866,0.0,1.0
3201,1.0,1.0
600,0.3333333333333333,1.0
2119,0.0,1.0
2149,0.0,1.0
3552,0.0,0.0
1210,0.0,1.0
1789,0.5,1.0
3849,1.0,1.0
229,0.2972972972972973,0.9054054054054054
1485,0.25,1.0
-116,0.375,0.875
650,0.25,1.0
1119,0.3333333333333333,1.0
1376,0.5,1.0
1185,0.5,0.5
1343,0.3333333333333333,1.0
1930,0.0,1.0
2196,0.0,1.0
1559,0.3333333333333333,1.0
3403,1.0,1.0
1212,0.0,1.0
2593,1.0,1.0
3687,0.0,1.0
110,0.31338028169014087,0.897887323943662
343,0.3333333333333333,0.9259259259259259
439,0.23809523809523808,0.9523809523809523
275,0.4339622641509434,0.9622641509433962
3796,1.0,1.0
190,0.34831460674157305,0.9101123595505618
1967,1.0,0.0
737,0.25,1.0
629,0.16666666666666666,1.0
5751,0.0,1.0
902,0.3333333333333333,1.0
1598,0.0,1.0
4006,0.0,0.0
706,0.0,0.75
3366,0.0,0.0
2182,0.0,1.0
2215,0.0,1.0
4210,0.0,1.0
-26,0.4979253112033195,0.7676348547717843
57,0.348,0.926
136,0.29473684210526313,0.8894736842105263
513,0.4375,0.8125
17654,0.0,1.0
1607,0.0,1.0
828,0.5,1.0
936,0.0,1.0
2377,0.0,1.0
1728,1.0,1.0
1002,0.5,1.0
3386,0.0,1.0
1407,0.3333333333333333,1.0
1213,0.0,1.0
144,0.3333333333333333,0.9047619047619048
963,0.0,1.0
388,0.3,1.0
412,0.3548387096774194,0.8387096774193549
417,0.19230769230769232,0.9615384615384616
-61,0.44,0.84
4802,0.0,1.0
2021,0.0,1.0
-172,0.3333333333333333,0.3333333333333333
1710,1.0,1.0
14019,0.0,1.0
5059,1.0,0.0
1956,0.0,1.0
3133,0.0,1.0
4319,0.0,1.0
5673,1.0,1.0
2235,0.5,1.0
2404,1.0,1.0
2615,0.0,1.0
909,0.0,1.0
1240,0.5,0.5
1219,1.0,1.0
2971,0.0,1.0
1256,0.0,1.0
1771,1.0,1.0
1025,0.0,1.0
1937,0.0,1.0
5847,1.0,1.0
2784,0.0,1.0
1283,0.0,0.5
2470,0.5,1.0
1549,0.0,1.0
3390,0.0,1.0
32,0.3534753754802655,0.9042961928047503
43,0.3556701030927835,0.9020618556701031
420,0.19230769230769232,0.9230769230769231
-41,0.5029940119760479,0.7784431137724551
1108,0.0,1.0
752,0.3333333333333333,1.0
555,0.25,0.875
696,0.375,0.75
1073,0.0,1.0
1134,0.0,1.0
1128,0.0,1.0
1550,0.0,1.0
1051,0.0,1.0
6393,1.0,1.0
1089,0.75,1.0
2667,0.0,1.0
84,0.3180873180873181,0.920997920997921
378,0.2692307692307692,0.9230769230769231
1233,0.0,1.0
2821,0.0,1.0
2995,0.0,1.0
4125,0.0,1.0
212,0.2911392405063291,0.9240506329113924
-154,1.0,0.6666666666666666
970,0.0,1.0
1924,0.0,1.0
779,0.25,0.5
1362,0.4,1.0
766,0.2,1.0
2276,1.0,1.0
5735,0.0,1.0
2294,0.0,1.0
4542,0.0,1.0
1501,0.0,1.0
31,0.3621488113615313,0.9027477616548317
662,0.45454545454545453,1.0
376,0.3870967741935484,0.8709677419354839
3570,1.0,1.0
958,0.3333333333333333,0.6666666666666666
516,0.6,1.0
-108,0.5714285714285714,0.8571428571428571
2441,1.0,1.0
1361,1.0,1.0
2414,1.0,1.0
5103,0.0,1.0
1722,1.0,1.0
1811,0.0,1.0
119,0.352,0.924
395,0.21875,0.90625
1440,0.0,1.0
2137,0.0,1.0
768,0.4,1.0
4725,0.0,1.0
974,0.6,0.8
5221,0.0,1.0
5797,1.0,1.0
3989,1.0,1.0
2130,1.0,1.0
1420,0.3333333333333333,1.0
-111,0.5555555555555556,0.8888888888888888
6839,0.0,0.0
4831,1.0,1.0
3099,0.0,1.0
450,0.4,0.9
596,0.36363636363636365,0.7272727272727273
326,0.46153846153846156,0.9487179487179487
386,0.36363636363636365,0.9696969696969697
1069,0.2,1.0
595,0.2,0.8
2113,0.5,1.0
1444,1.0,1.0
1513,1.0,1.0
-145,1.0,0.3333333333333333
4860,1.0,1.0
4143,0.0,1.0
894,0.0,1.0
39,0.33706225680933855,0.9032101167315175
98,0.36253776435045315,0.8731117824773413
-50,0.4375,0.8660714285714286
187,0.34579439252336447,0.9345794392523364
2745,1.0,1.0
561,0.0,1.0
1297,0.0,1.0
2639,1.0,1.0
4758,0.0,1.0
845,1.0,0.5
496,0.2,0.8
-337,1.0,1.0
1733,0.0,1.0
4928,0.0,1.0
402,0.4,0.9
201,0.3780487804878049,0.8414634146341463
232,0.391304347826087,0.9420289855072463
1252,0.4,1.0
2185,1.0,0.0
1405,0.5,1.0
4495,1.0,1.0
1975,1.0,1.0
5169,1.0,1.0
1141,0.6666666666666666,1.0
1650,0.0,1.0
-168,1.0,1.0
1945,0.0,1.0
962,0.3333333333333333,1.0
6332,0.0,1.0
1282,0.25,1.0
773,0.3076923076923077,0.9230769230769231
1612,0.6,0.8
966,0.5,0.5
1269,0.6666666666666666,1.0
1639,0.0,1.0
1775,0.0,1.0
203,0.3978494623655914,0.9247311827956989
1850,0.0,1.0
700,0.25,0.75
2348,1.0,1.0
2839,0.0,0.0
3812,1.0,1.0
2527,0.0,1.0
2922,0.0,1.0
2106,0.0,1.0
1482,1.0,1.0
145,0.36470588235294116,0.9411764705882353
116,0.33613445378151263,0.8865546218487395
488,0.42857142857142855,0.7857142857142857
3319,0.0,1.0
-158,1.0,1.0
4208,0.0,1.0
2472,0.0,1.0
